timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1608128195460,1936,login-1,200,OK,Thread Group 1-1,true,,10932,1,1,1934,1,0,INL5CG02487XR
1608128195385,1936,login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,true,,10932,1,1,1934,1,0,INL5CG02487XR
1608128207609,1954,login-10,200,OK,Thread Group 1-1,true,,4111,1,1,602,1,0,INL5CG02487XR
1608128209564,1373,login-11,200,OK,Thread Group 1-1,true,,3552,1,1,1372,1,0,INL5CG02487XR
1608128210938,198,login-13,200,OK,Thread Group 1-1,true,,4435,1,1,197,1,0,INL5CG02487XR
1608128211137,167,login-14,200,OK,Thread Group 1-1,true,,459,1,1,167,1,0,INL5CG02487XR
1608128197397,3692,login,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-1,true,,12557,1,1,2338,1,0,INL5CG02487XR
1608128222826,1705,Leave-18,200,OK,Thread Group 1-1,true,,3528,1,1,1703,1,0,INL5CG02487XR
1608128224533,661,Leave-19,200,OK,Thread Group 1-1,true,,4255,1,1,661,1,0,INL5CG02487XR
1608128225196,165,Leave-21,200,OK,Thread Group 1-1,true,,436,1,1,165,1,0,INL5CG02487XR
1608128225363,165,Leave-23,200,OK,Thread Group 1-1,true,,458,1,1,165,1,0,INL5CG02487XR
1608128225530,169,Leave-22,200,OK,Thread Group 1-1,true,,420,1,1,169,1,0,INL5CG02487XR
1608128225700,196,Leave-25,200,OK,Thread Group 1-1,true,,469,1,1,196,1,0,INL5CG02487XR
1608128211304,3061,Leave,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-1,true,,9566,1,1,3059,1,0,INL5CG02487XR
1608128232029,1723,Time-26,200,OK,Thread Group 1-1,true,,3568,1,1,1722,1,0,INL5CG02487XR
1608128233754,180,Time-27,200,OK,Thread Group 1-1,true,,2775,1,1,179,1,0,INL5CG02487XR
1608128225897,1903,Time,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,true,,6343,1,1,1901,1,0,INL5CG02487XR
1608128242633,767,Logout-30,200,OK,Thread Group 1-1,true,,12038,1,1,592,1,0,INL5CG02487XR
1608128233934,767,Logout,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,true,,12038,1,1,592,1,0,INL5CG02487XR
